nom_elu	prenom_elu	sexe_elu	date_naissance_elu	code_categorie_socio_professionnelle	libelle_categorie_socio_professionnelle	date_debut_mandat	lieu_naissance_elu	code_nuance_mandat	libelle_nuance_mandat
MINARDI	Eric	M	1956-03-18 00:00:00+00	23	Chef d'entreprise de 10 salariés ou plus	2022-08-04 00:00:00+00		RN	Rassemblement National
MORANO	Nadine	F	1963-11-06 00:00:00+00	105	Industriel-Chef entreprise (obsolète)	2019-05-26 00:00:00+00	NANCY	LR	Les Républicains
OLIVIER	Philippe	M	1961-08-30 00:00:00+00	154	Permanent politique (obsolète)	2019-05-26 00:00:00+00	Juvisy-sur-Orge	RN	Rassemblement National
OMARJEE	Younous	M	1969-09-30 00:00:00+00	154	Permanent politique (obsolète)	2019-05-26 00:00:00+00	SAINT-DENIS (974)	FI	La France insoumise
ORVILLE	Max	M	1959-01-01 00:00:00+00	143	Enseignant 1er deg.-directeur école (obsolète)	2022-06-06 00:00:00+00		MDM	Modem
PELLETIER	Anne-Sophie	F	1976-02-05 00:00:00+00	121	Ouvrier (secteur privé) (obsolète)	2019-05-26 00:00:00+00	Besançon	FI	La France insoumise
PIRBAKAS	Maxette	F	1975-04-14 00:00:00+00	101	Agriculteur propriétaire exploit. (obsolète)	2019-05-26 00:00:00+00		RN	Rassemblement National
RIQUET	Dominique	M	1946-09-18 00:00:00+00	165	Autre retraité (obsolète)	2019-05-26 00:00:00+00	VALENCIENNES (59)	DVD	Divers droite
RIVASI	Michèle	F	1953-02-09 00:00:00+00	151	Cadre (entreprises publiques) (obsolète)	2019-05-26 00:00:00+00	MONTELIMAR	VEC	Europe Ecologie - Les Verts
RIVIERE	Jérôme	M	1964-07-08 00:00:00+00	105	Industriel-Chef entreprise (obsolète)	2019-05-26 00:00:00+00	Suresnes	RN	Rassemblement National
ROOSE	Caroline	F	1968-11-10 00:00:00+00	110	Artisan (obsolète)	2019-05-26 00:00:00+00	Ostende (Belgique)	VEC	Europe Ecologie - Les Verts
ROUGÉ	André	M	1961-12-23 00:00:00+00	156	Autre profession (obsolète)	2019-05-26 00:00:00+00	Paris	RN	Rassemblement National
SANDER	Anne	F	1973-10-01 00:00:00+00	46	Profession intermédiaire administrative et commerciale des entreprises	2019-05-26 00:00:00+00		LR	Les Républicains
SATOURI	Mounir	M	1975-05-25 00:00:00+00	156	Autre profession (obsolète)	2019-05-26 00:00:00+00	Casablanca (Maroc)	VEC	Europe Ecologie - Les Verts
SÉJOURNÉ	Stéphane	M	1985-03-26 00:00:00+00	154	Permanent politique (obsolète)	2019-05-26 00:00:00+00	Versailles	REM	La République en marche
TOLLERET	Irène	F	1967-08-17 00:00:00+00	101	Agriculteur propriétaire exploit. (obsolète)	2019-05-26 00:00:00+00	Béziers	REM	La République en marche
TOUSSAINT	Marie	F	1987-05-27 00:00:00+00	156	Autre profession (obsolète)	2019-05-26 00:00:00+00	Lille	VEC	Europe Ecologie - Les Verts
TRILLET-LENOIR	Véronique	F	1957-06-12 00:00:00+00	141	Professeur de faculté (obsolète)	2019-05-26 00:00:00+00	Lyon	REM	La République en marche
VEDRENNE	Marie-Pierre	F	1982-12-13 00:00:00+00	37	Cadre administratif et commercial d'entreprise	2019-05-26 00:00:00+00	Limoges	MDM	Modem
YENBOU	Salima	F	1971-03-14 00:00:00+00	147	Fonctionnaire de catégorie A (obsolète)	2019-05-26 00:00:00+00		VEC	Europe Ecologie - Les Verts
YON-COURTIN	Stéphanie	F	1974-03-28 00:00:00+00	31	Profession libérale	2019-05-26 00:00:00+00	Coutances	DVD	Divers droite
